id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3292018	NO Lab	Wed	1320	60	JoGe	9A:2	D48				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292170	MU	Wed	1320	60	MaBe	9A:1	Music				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292073	SO	Wed	1325	60	MiJä	8B	C32				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291764	SVA	Wed	1330	45	LiJä	5SVA2	D41			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291798	SVA	Wed	1330	45	HayAlj	5SVA1	D40			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292112	SO	Wed	1330	55	BjJo	9B	C33				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292115	MA	Wed	1330	50	JaOm	9C	A13			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292720	Prep Class	Wed	1330	45	ChLa	5Prep	B29			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292721	SV	Wed	1330	45	CaSk	5SV1	D44					0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292591	MA	Wed	1335	50	LSt	6B	D43			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292388	Planning Time	Wed	1350	60	LilCor,DaCa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292682	Cogito	Wed	1350	60	MaFu							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291812	Changing Time	Wed	1400	10	OlGo	7B	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
